"BusNo.","Timeperiod","DecisionNo.","Mileage","ExpChoiceSpecificValuefunction","Chosen"
0,0,0,0,-21.0801550699975,1
0,0,1,0,-21.0801550699975,0
0,1,0,1,-21.8255706090749,1
0,1,1,1,-21.0801550699975,0
0,2,0,2,-22.298636394482,0
0,2,1,2,-21.0801550699975,1
0,3,0,1,-21.8255706090749,1
0,3,1,1,-21.0801550699975,0
0,4,0,2,-22.298636394482,1
0,4,1,2,-21.0801550699975,0
0,5,0,3,-22.5879595713284,1
0,5,1,3,-21.0801550699975,0
0,6,0,4,-22.7622881023206,0
0,6,1,4,-21.0801550699975,1
0,7,0,1,-21.8255706090749,1
0,7,1,1,-21.0801550699975,0
0,8,0,2,-22.298636394482,1
0,8,1,2,-21.0801550699975,0
0,9,0,3,-22.5879595713284,1
0,9,1,3,-21.0801550699975,0
0,10,0,4,-22.7622881023206,0
0,10,1,4,-21.0801550699975,1
0,11,0,1,-21.8255706090749,1
0,11,1,1,-21.0801550699975,0
0,12,0,2,-22.298636394482,0
0,12,1,2,-21.0801550699975,1
0,13,0,1,-21.8255706090749,1
0,13,1,1,-21.0801550699975,0
0,14,0,2,-22.298636394482,1
0,14,1,2,-21.0801550699975,0
0,15,0,3,-22.5879595713284,0
0,15,1,3,-21.0801550699975,1
0,16,0,1,-21.8255706090749,1
0,16,1,1,-21.0801550699975,0
0,17,0,2,-22.298636394482,1
0,17,1,2,-21.0801550699975,0
0,18,0,3,-22.5879595713284,1
0,18,1,3,-21.0801550699975,0
0,19,0,4,-22.7622881023206,1
0,19,1,4,-21.0801550699975,0
0,20,0,5,-22.8670085532735,1
0,20,1,5,-21.0801550699975,0
0,21,0,6,-22.9300018317182,0
0,21,1,6,-21.0801550699975,1
0,22,0,1,-21.8255706090749,1
0,22,1,1,-21.0801550699975,0
0,23,0,2,-22.298636394482,0
0,23,1,2,-21.0801550699975,1
0,24,0,1,-21.8255706090749,1
0,24,1,1,-21.0801550699975,0
0,25,0,2,-22.298636394482,1
0,25,1,2,-21.0801550699975,0
0,26,0,3,-22.5879595713284,0
0,26,1,3,-21.0801550699975,1
0,27,0,1,-21.8255706090749,1
0,27,1,1,-21.0801550699975,0
0,28,0,2,-22.298636394482,1
0,28,1,2,-21.0801550699975,0
0,29,0,3,-22.5879595713284,0
0,29,1,3,-21.0801550699975,1
1,0,0,0,-21.0801550699975,1
1,0,1,0,-21.0801550699975,0
1,1,0,1,-21.8255706090749,1
1,1,1,1,-21.0801550699975,0
